Employee_ID,Age,Performance_Score,Leadership_Score,Training_Hours,Projects_Handled,Peer_Review_Score,Current_Position_Level,Salary
EMP0115,36,1,29,25,2,51,Lead,27500000
EMP0116,28,1,20,53,4,58,Junior,6500000
EMP0117,23,4,52,132,8,2,Lead,27500000
EMP0118,52,2,47,2,14,16,Senior,22500000
EMP0119,28,2,7,83,13,9,Mid,11500000
EMP0120,32,4,95,110,9,11,Lead,27500000
EMP0121,34,5,13,51,17,46,Lead,27500000
EMP0122,34,2,71,62,0,67,Junior,6500000
EMP0123,47,1,34,43,2,81,Lead,27500000
EMP0124,29,3,83,124,19,17,Junior,6500000
EMP0125,35,2,51,102,10,33,Senior,22500000
EMP0126,23,1,68,179,6,31,Mid,11500000
EMP0127,36,5,59,154,16,85,Senior,22500000
EMP0128,41,3,79,102,4,46,Lead,27500000
EMP0129,55,5,47,62,19,24,Lead,27500000
EMP0130,25,1,5,117,12,32,Mid,11500000
EMP0131,39,5,75,39,4,13,Lead,27500000
EMP0132,46,4,21,59,11,57,Junior,6500000
EMP0133,45,1,13,144,19,33,Senior,22500000
EMP0134,27,5,11,24,16,51,Lead,27500000
EMP0135,55,4,65,93,8,3,Mid,11500000
EMP0136,59,4,81,131,18,23,Mid,11500000
EMP0137,24,5,25,0,3,89,Junior,6500000
EMP0138,40,5,29,156,12,57,Mid,11500000
EMP0139,57,4,14,102,12,87,Junior,6500000
EMP0140,40,1,9,111,17,84,Lead,27500000
EMP0141,49,1,58,169,15,50,Junior,6500000
EMP0142,31,5,79,186,16,35,Mid,11500000
EMP0143,39,3,97,180,16,95,Junior,6500000
EMP0144,25,2,24,151,15,51,Mid,11500000
EMP0145,33,5,73,74,9,55,Lead,27500000
EMP0146,48,4,48,16,10,42,Mid,11500000
EMP0147,50,3,11,157,5,17,Mid,11500000
EMP0148,33,3,85,135,2,79,Senior,22500000
EMP0149,32,2,26,186,7,79,Lead,27500000
EMP0150,25,2,51,46,17,33,Senior,22500000
EMP0151,45,3,72,194,10,75,Mid,11500000
EMP0152,47,1,33,120,18,44,Senior,22500000
EMP0153,49,4,1,38,14,50,Lead,27500000
EMP0154,25,5,62,116,9,94,Mid,11500000
EMP0155,57,3,49,141,5,82,Junior,6500000
EMP0156,36,2,98,129,15,44,Lead,27500000
EMP0157,43,2,51,164,8,73,Junior,6500000
EMP0158,45,2,93,159,5,39,Lead,27500000
EMP0159,45,3,2,95,12,48,Senior,22500000
EMP0160,58,2,53,32,3,35,Lead,27500000
EMP0161,41,1,69,76,14,21,Senior,22500000
EMP0162,27,1,10,125,9,25,Lead,27500000
EMP0163,31,4,17,191,16,54,Junior,6500000
EMP0164,24,4,73,30,12,72,Senior,22500000
EMP0165,59,1,92,198,6,24,Junior,6500000
EMP0166,55,3,19,146,19,88,Mid,11500000
EMP0167,27,4,6,83,8,8,Lead,27500000
EMP0168,31,4,87,59,9,18,Mid,11500000
EMP0169,37,3,51,161,2,98,Senior,22500000
EMP0170,50,4,51,62,12,89,Senior,22500000
EMP0171,24,5,24,103,9,73,Mid,11500000
EMP0172,32,5,10,173,3,79,Junior,6500000
EMP0173,58,1,15,102,6,9,Senior,22500000
EMP0174,25,5,63,179,5,59,Mid,11500000
EMP0175,25,5,38,65,4,69,Mid,11500000
EMP0176,45,3,54,113,6,72,Senior,22500000
EMP0177,49,4,0,148,10,56,Junior,6500000
EMP0178,56,1,73,58,4,0,Senior,22500000
EMP0179,59,2,42,44,5,66,Junior,6500000
EMP0180,45,2,9,187,10,35,Junior,6500000
EMP0181,43,3,10,113,1,51,Lead,27500000
EMP0182,47,3,7,106,18,95,Mid,11500000
EMP0183,39,5,26,111,11,23,Mid,11500000
EMP0184,24,5,18,199,1,78,Lead,27500000
EMP0185,32,2,31,137,4,42,Senior,22500000
EMP0186,30,5,51,144,5,34,Mid,11500000
EMP0187,54,1,74,106,6,62,Mid,11500000
EMP0188,41,5,51,61,15,58,Mid,11500000
EMP0189,57,2,99,171,9,60,Senior,22500000
EMP0190,25,5,97,19,10,95,Mid,11500000
EMP0191,23,1,18,24,17,17,Junior,6500000
EMP0192,29,1,68,23,18,6,Lead,27500000
EMP0193,28,5,79,65,17,78,Lead,27500000
EMP0194,41,4,66,63,2,68,Junior,6500000
EMP0195,55,3,87,4,10,28,Lead,27500000
EMP0196,40,1,94,54,1,51,Lead,27500000
EMP0197,50,1,39,1,6,77,Lead,27500000
EMP0198,27,2,66,64,14,17,Lead,27500000
EMP0199,31,4,52,52,10,41,Junior,6500000
EMP0200,26,2,22,102,6,90,Mid,11500000
EMP0201,45,2,2,12,7,66,Senior,22500000
EMP0202,43,2,90,150,10,85,Mid,11500000
EMP0203,47,3,92,22,5,17,Mid,11500000
EMP0204,58,2,92,68,10,40,Lead,27500000
EMP0205,50,5,71,169,11,6,Junior,6500000
EMP0206,57,1,9,102,15,74,Mid,11500000
EMP0207,41,3,20,181,11,62,Mid,11500000
EMP0208,41,3,77,130,12,79,Senior,22500000
EMP0209,36,4,24,3,9,53,Mid,11500000
EMP0210,36,4,64,89,7,24,Senior,22500000
EMP0211,45,3,69,147,7,3,Junior,6500000
EMP0212,50,5,6,135,18,40,Junior,6500000
EMP0213,38,1,79,161,10,33,Lead,27500000
EMP0214,46,5,49,72,15,75,Senior,22500000
EMP0215,37,3,89,4,5,83,Senior,22500000
EMP0216,38,3,36,30,9,84,Senior,22500000
EMP0217,42,1,51,174,2,89,Mid,11500000
EMP0218,48,1,56,119,6,99,Junior,6500000
EMP0219,26,3,21,117,7,8,Senior,22500000
EMP0220,43,4,7,43,1,14,Junior,6500000
EMP0221,54,5,39,35,1,62,Senior,22500000
EMP0222,23,3,93,196,17,51,Junior,6500000
EMP0223,56,5,27,74,19,21,Mid,11500000
EMP0224,40,4,13,150,8,44,Lead,27500000
EMP0225,48,2,48,111,9,73,Lead,27500000
EMP0226,57,1,63,182,3,23,Mid,11500000
EMP0227,23,3,22,85,9,70,Senior,22500000
EMP0228,39,3,69,32,10,51,Senior,22500000
EMP0229,44,2,66,186,8,86,Lead,27500000
EMP0230,47,3,64,157,12,49,Mid,11500000
EMP0231,32,3,92,112,18,50,Lead,27500000
EMP0232,22,2,16,164,1,82,Lead,27500000
EMP0233,57,4,50,73,1,51,Mid,11500000
EMP0234,41,1,45,36,13,51,Lead,27500000
EMP0235,52,4,37,161,4,15,Mid,11500000
EMP0236,29,2,62,189,10,56,Junior,6500000
EMP0237,45,5,33,24,6,24,Mid,11500000
EMP0238,41,1,69,149,14,69,Mid,11500000
EMP0239,36,5,10,181,11,70,Mid,11500000
EMP0240,51,3,55,198,10,46,Mid,11500000
EMP0241,41,1,18,52,11,0,Lead,27500000
EMP0242,59,5,66,93,1,48,Lead,27500000
EMP0243,23,5,48,127,18,93,Junior,6500000
EMP0244,27,3,50,178,0,30,Mid,11500000
EMP0245,39,3,12,73,11,5,Senior,22500000
EMP0246,57,1,66,130,2,93,Lead,27500000
EMP0247,35,4,48,102,7,59,Mid,11500000
EMP0248,47,3,51,163,0,21,Junior,6500000
EMP0249,55,1,8,73,9,19,Lead,27500000
EMP0250,51,5,79,21,2,61,Mid,11500000
EMP0251,28,2,58,131,9,0,Lead,27500000
EMP0252,51,2,41,168,8,71,Senior,22500000
EMP0253,39,3,93,4,19,76,Mid,11500000
EMP0254,43,4,11,22,4,84,Mid,11500000
EMP0255,38,3,22,42,9,51,Mid,11500000
EMP0256,52,1,35,193,12,14,Mid,11500000
EMP0257,38,2,35,127,10,73,Junior,6500000
EMP0258,52,5,82,77,7,82,Senior,22500000
EMP0259,34,4,71,65,7,37,Senior,22500000
EMP0260,48,4,50,102,12,80,Lead,27500000
EMP0261,41,2,85,39,18,48,Junior,6500000
EMP0262,38,5,98,28,15,11,Senior,22500000
EMP0263,50,1,80,55,10,63,Mid,11500000
EMP0264,56,1,76,102,10,38,Junior,6500000
EMP0265,29,1,63,27,5,66,Mid,11500000
EMP0266,59,3,55,155,4,35,Mid,11500000
EMP0267,36,3,30,130,10,38,Mid,11500000
EMP0268,22,1,70,27,4,28,Senior,22500000
EMP0269,41,2,76,40,15,74,Lead,27500000
EMP0270,24,4,6,111,15,85,Senior,22500000
EMP0271,59,2,57,153,16,29,Lead,27500000
EMP0272,36,3,77,25,6,95,Mid,11500000
EMP0273,39,3,88,20,12,25,Mid,11500000
EMP0274,59,4,79,184,17,31,Junior,6500000
EMP0275,52,5,75,102,9,27,Junior,6500000
EMP0276,41,3,46,52,10,78,Junior,6500000
EMP0277,41,2,50,44,3,40,Mid,11500000
EMP0278,41,4,97,88,6,54,Mid,11500000
EMP0279,48,5,14,143,19,89,Lead,27500000
EMP0280,29,3,35,105,12,52,Mid,11500000
EMP0281,35,5,67,71,7,51,Senior,22500000
EMP0282,36,1,12,185,14,13,Mid,11500000
EMP0283,28,1,62,89,6,32,Mid,11500000
EMP0284,54,1,87,4,18,31,Mid,11500000
EMP0285,55,3,55,181,16,97,Senior,22500000
EMP0286,25,5,0,166,18,37,Junior,6500000
EMP0287,22,3,21,52,15,51,Mid,11500000
EMP0288,35,3,0,130,11,75,Mid,11500000
EMP0289,52,2,33,176,7,7,Mid,11500000
EMP0290,59,2,77,86,2,9,Senior,22500000
EMP0292,24,5,96,40,17,90,Junior,6500000
EMP0293,41,2,93,157,0,21,Senior,22500000
EMP0294,54,5,21,73,10,55,Junior,6500000
EMP0295,36,2,44,196,4,16,Junior,6500000
EMP0296,24,5,8,8,5,97,Mid,11500000
EMP0297,49,3,53,164,19,62,Mid,11500000
EMP0298,48,3,0,105,14,21,Senior,22500000
EMP0299,54,4,28,60,6,38,Lead,27500000
EMP0300,40,2,62,163,4,85,Lead,27500000
EMP0301,54,1,8,24,16,78,Lead,27500000
EMP0302,41,4,86,172,13,58,Lead,27500000
EMP0303,25,1,84,26,1,42,Junior,6500000
EMP0305,49,3,5,102,10,89,Senior,22500000
EMP0306,37,1,79,107,6,83,Junior,6500000
EMP0307,49,3,39,27,11,19,Mid,11500000
EMP0308,41,4,61,165,18,51,Lead,27500000
EMP0309,43,4,14,108,18,18,Lead,27500000
EMP0310,52,3,74,133,5,51,Lead,27500000
EMP0311,42,5,12,172,16,91,Lead,27500000
EMP0312,41,2,39,114,7,97,Senior,22500000
EMP0313,28,5,30,174,13,2,Mid,11500000
EMP0314,54,4,69,47,0,83,Junior,6500000
EMP0315,29,2,58,153,6,77,Mid,11500000
EMP0316,35,5,33,173,19,47,Lead,27500000
EMP0317,46,1,29,135,16,81,Mid,11500000
EMP0318,53,5,44,90,10,10,Lead,27500000
EMP0319,49,3,48,96,7,95,Junior,6500000
EMP0320,23,1,62,133,13,78,Senior,22500000
EMP0321,38,3,75,102,2,79,Mid,11500000
EMP0322,48,1,74,180,19,88,Mid,11500000
EMP0323,23,4,58,13,1,63,Junior,6500000
EMP0324,29,2,5,140,19,94,Lead,27500000
EMP0325,59,1,58,56,16,52,Lead,27500000
EMP0326,41,4,9,68,17,2,Mid,11500000
EMP0327,41,4,65,41,1,60,Mid,11500000
EMP0328,42,2,38,197,18,42,Senior,22500000
EMP0329,47,2,32,27,5,6,Junior,6500000
EMP0330,52,1,53,150,4,46,Lead,27500000
EMP0331,41,3,71,22,6,9,Junior,6500000
EMP0332,27,4,44,178,7,28,Junior,6500000
EMP0333,36,2,33,160,4,51,Lead,27500000
EMP0334,22,3,78,166,1,30,Lead,27500000
EMP0335,47,2,30,187,19,26,Mid,11500000
EMP0336,50,3,53,141,13,57,Mid,11500000
EMP0337,23,3,75,47,13,94,Senior,22500000
EMP0338,43,5,97,39,9,59,Lead,27500000
EMP0339,50,3,4,63,13,17,Junior,6500000
EMP0340,41,2,47,102,9,14,Lead,27500000
EMP0341,42,1,90,43,10,63,Senior,22500000
EMP0342,53,4,66,44,2,31,Lead,27500000
EMP0343,53,3,80,102,13,16,Lead,27500000
EMP0344,47,1,57,143,11,50,Lead,27500000
EMP0346,24,5,4,114,13,47,Lead,27500000
EMP0347,53,2,59,97,12,51,Mid,11500000
EMP0348,54,4,70,133,11,76,Mid,11500000
EMP0349,54,3,51,68,4,92,Mid,11500000
EMP0350,34,3,48,24,4,56,Mid,11500000
EMP0351,27,5,30,188,14,97,Junior,6500000
EMP0352,25,3,38,43,4,64,Senior,22500000
EMP0353,59,2,81,100,5,78,Lead,27500000
EMP0354,27,3,63,183,13,45,Mid,11500000
EMP0355,24,3,24,135,15,57,Mid,11500000
EMP0356,48,2,56,165,6,69,Mid,11500000
EMP0357,41,1,83,56,8,97,Lead,27500000
EMP0358,39,3,98,191,7,5,Lead,27500000
EMP0359,41,2,10,167,3,77,Mid,11500000
EMP0360,51,3,46,34,18,1,Lead,27500000
EMP0361,31,3,51,75,7,69,Lead,27500000
EMP0362,44,4,18,164,11,24,Mid,11500000
EMP0363,24,3,50,151,19,13,Senior,22500000
EMP0364,30,3,45,20,11,43,Lead,27500000
EMP0365,40,4,82,107,3,42,Mid,11500000
EMP0366,57,3,0,70,10,48,Lead,27500000
EMP0367,48,2,20,103,8,84,Mid,11500000
EMP0368,49,3,49,199,4,17,Junior,6500000
EMP0369,29,3,86,117,18,38,Mid,11500000
EMP0370,29,2,99,1,4,33,Junior,6500000
EMP0371,39,1,81,83,3,76,Junior,6500000
EMP0373,34,3,64,94,0,57,Senior,22500000
EMP0374,48,5,10,87,8,85,Junior,6500000
EMP0375,37,2,81,194,0,68,Lead,27500000
EMP0376,30,1,51,10,1,90,Junior,6500000
EMP0377,48,3,97,106,14,23,Junior,6500000
EMP0378,38,3,38,111,15,53,Lead,27500000
EMP0380,25,1,96,164,14,76,Junior,6500000
EMP0381,22,1,10,178,13,54,Mid,11500000
EMP0382,35,5,76,16,3,36,Senior,22500000
EMP0383,29,2,64,172,16,56,Lead,27500000
EMP0384,28,3,81,106,14,51,Lead,27500000
EMP0385,51,4,14,108,1,36,Senior,22500000
EMP0386,46,2,92,48,7,51,Lead,27500000
EMP0387,37,5,58,156,17,37,Junior,6500000
EMP0388,32,1,5,91,2,44,Mid,11500000
EMP0389,41,3,88,11,15,79,Junior,6500000
EMP0390,54,3,86,9,16,0,Mid,11500000
EMP0391,42,3,98,102,2,35,Senior,22500000
EMP0392,31,1,56,70,1,27,Senior,22500000
EMP0393,30,1,93,18,16,8,Lead,27500000
EMP0395,55,4,41,165,4,35,Mid,11500000
EMP0396,52,1,50,64,6,51,Junior,6500000
EMP0397,41,2,72,149,3,95,Lead,27500000
EMP0398,45,3,82,102,13,13,Senior,22500000
EMP0399,40,5,62,164,1,85,Junior,6500000
EMP0400,42,2,51,100,9,79,Junior,6500000
EMP0401,46,1,12,177,11,8,Lead,27500000
EMP0402,41,4,25,52,0,96,Senior,22500000
EMP0403,47,4,58,115,14,12,Junior,6500000
EMP0404,28,3,50,89,10,32,Junior,6500000
EMP0405,24,3,34,108,10,63,Junior,6500000
EMP0406,29,1,58,163,12,24,Mid,11500000
EMP0407,51,1,84,102,19,69,Mid,11500000
EMP0408,32,3,72,79,13,65,Lead,27500000
EMP0409,29,3,98,7,5,36,Mid,11500000
EMP0410,58,3,62,118,9,70,Senior,22500000
EMP0411,38,5,34,138,19,56,Mid,11500000
EMP0412,29,2,19,97,17,21,Mid,11500000
EMP0413,51,4,6,21,0,68,Mid,11500000
EMP0414,37,5,46,59,9,60,Lead,27500000
EMP0415,25,4,67,102,0,92,Junior,6500000
EMP0416,42,1,40,14,13,64,Senior,22500000
EMP0417,55,1,50,145,19,4,Lead,27500000
EMP0418,41,1,86,51,10,82,Mid,11500000
EMP0419,34,5,73,102,4,66,Mid,11500000
EMP0420,48,1,40,194,6,71,Mid,11500000
EMP0421,29,4,35,80,2,6,Lead,27500000
EMP0422,50,3,63,123,16,22,Mid,11500000
EMP0423,37,3,74,14,8,23,Lead,27500000
EMP0424,26,1,59,175,16,51,Lead,27500000
EMP0425,58,4,31,121,1,61,Junior,6500000
EMP0426,41,1,31,145,14,64,Junior,6500000
EMP0427,36,3,95,117,2,51,Junior,6500000
EMP0428,42,5,98,27,8,45,Mid,11500000
EMP0429,55,2,57,117,1,32,Senior,22500000
EMP0430,43,3,54,35,9,93,Senior,22500000
EMP0431,43,2,75,187,17,79,Mid,11500000
EMP0432,30,1,51,19,10,4,Junior,6500000
EMP0433,47,4,79,169,16,24,Senior,22500000
EMP0434,34,5,18,18,15,48,Mid,11500000
EMP0435,39,3,38,8,11,43,Junior,6500000
EMP0436,22,3,39,134,8,25,Mid,11500000
EMP0437,44,5,35,27,8,37,Mid,11500000
EMP0438,54,4,8,49,14,47,Mid,11500000
EMP0439,52,3,39,75,5,51,Senior,22500000
EMP0440,42,4,22,145,14,63,Mid,11500000
EMP0441,44,3,36,180,17,44,Mid,11500000
EMP0442,37,3,51,105,8,51,Lead,27500000
EMP0443,48,1,23,110,10,47,Senior,22500000
EMP0444,41,3,28,158,8,11,Lead,27500000
EMP0445,59,2,55,166,2,94,Mid,11500000
EMP0446,35,3,83,120,10,16,Senior,22500000
EMP0447,58,4,51,116,1,81,Mid,11500000
EMP0448,28,5,72,88,4,95,Senior,22500000
EMP0449,33,5,80,135,18,90,Junior,6500000
EMP0450,49,4,61,12,9,69,Junior,6500000
EMP0451,24,1,93,48,15,91,Lead,27500000
EMP0452,43,2,84,85,18,94,Mid,11500000
EMP0453,42,3,5,102,16,51,Lead,27500000
EMP0454,50,3,9,197,8,58,Mid,11500000
EMP0455,41,4,12,102,11,27,Mid,11500000
EMP0456,24,3,12,46,9,99,Mid,11500000
EMP0457,48,4,60,20,0,8,Junior,6500000
EMP0458,42,4,36,69,14,71,Lead,27500000
EMP0459,54,4,76,168,6,97,Junior,6500000
EMP0460,51,5,74,170,5,75,Junior,6500000
EMP0461,30,3,11,25,17,94,Junior,6500000
EMP0462,59,5,54,4,10,99,Junior,6500000
EMP0463,44,4,43,38,10,53,Junior,6500000
EMP0464,44,4,76,32,17,6,Mid,11500000
EMP0465,22,3,81,39,7,7,Junior,6500000
EMP0466,42,3,58,147,10,86,Mid,11500000
EMP0467,53,5,70,162,5,84,Senior,22500000
EMP0468,47,3,12,102,9,53,Senior,22500000
EMP0469,54,2,99,28,9,26,Senior,22500000
EMP0470,30,2,7,45,2,12,Senior,22500000
EMP0471,38,2,61,60,13,51,Mid,11500000
EMP0472,27,2,9,67,7,40,Lead,27500000
EMP0473,28,4,7,179,13,2,Lead,27500000
EMP0474,28,5,37,174,2,19,Junior,6500000
EMP0475,58,1,48,46,1,10,Lead,27500000
EMP0476,26,1,8,102,10,56,Lead,27500000
EMP0477,54,2,88,133,3,97,Junior,6500000
EMP0478,31,5,32,53,8,43,Lead,27500000
EMP0479,38,3,56,175,19,65,Junior,6500000
EMP0480,49,3,62,193,2,96,Mid,11500000
EMP0481,43,2,48,76,15,6,Junior,6500000
EMP0482,42,2,11,54,10,94,Mid,11500000
EMP0483,53,3,51,102,2,91,Senior,22500000
EMP0484,53,1,85,36,5,58,Lead,27500000
EMP0485,57,1,54,132,2,26,Mid,11500000
EMP0486,52,4,51,105,10,80,Mid,11500000
EMP0487,27,1,71,5,18,90,Senior,22500000
EMP0488,42,3,0,111,10,77,Lead,27500000
EMP0489,56,2,72,48,19,12,Mid,11500000
EMP0490,35,3,3,26,16,33,Senior,22500000
EMP0491,44,3,19,50,5,89,Mid,11500000
EMP0492,41,4,73,102,12,62,Mid,11500000
EMP0493,51,1,75,39,0,25,Mid,11500000
EMP0494,31,1,27,18,17,24,Mid,11500000
EMP0495,26,3,90,39,15,0,Senior,22500000
EMP0496,51,4,85,66,19,19,Mid,11500000
EMP0497,28,3,33,130,5,14,Lead,27500000
EMP0498,27,5,91,141,2,51,Senior,22500000
EMP0499,29,5,42,62,5,91,Lead,27500000
EMP0500,47,1,11,5,5,98,Junior,6500000
EMP0501,39,3,62,98,16,51,Senior,22500000
EMP0502,57,1,76,57,19,83,Senior,22500000
EMP0503,47,5,95,73,15,83,Junior,6500000
EMP0504,57,5,93,40,2,3,Junior,6500000
EMP0505,25,3,29,18,19,59,Senior,22500000
EMP0506,34,4,21,186,10,93,Junior,6500000
EMP0507,45,1,98,168,9,94,Mid,11500000
EMP0508,52,3,36,56,19,40,Senior,22500000
EMP0509,43,5,34,120,17,3,Junior,6500000
EMP0510,39,1,43,174,10,62,Lead,27500000
EMP0511,55,2,51,0,10,48,Mid,11500000
EMP0512,44,1,60,93,4,18,Mid,11500000
EMP0513,58,4,51,67,7,12,Senior,22500000
EMP0514,22,3,76,182,3,79,Junior,6500000
EMP0515,41,3,80,44,1,19,Junior,6500000
EMP0516,46,4,66,105,4,71,Mid,11500000
EMP0517,27,1,19,96,18,10,Mid,11500000
EMP0518,41,1,64,131,13,20,Senior,22500000
EMP0519,41,5,89,62,15,27,Senior,22500000
EMP0520,30,1,51,38,6,79,Lead,27500000
EMP0521,39,2,51,90,14,38,Senior,22500000
EMP0522,24,4,65,93,17,66,Junior,6500000
EMP0523,57,5,86,24,15,94,Lead,27500000
EMP0524,27,3,81,190,5,29,Mid,11500000
EMP0525,59,4,62,102,7,7,Lead,27500000
EMP0526,22,3,18,56,4,31,Senior,22500000
EMP0527,40,4,21,137,10,75,Junior,6500000
EMP0528,59,3,60,158,5,51,Lead,27500000
EMP0529,49,3,68,52,4,62,Senior,22500000
EMP0530,30,5,22,119,10,58,Junior,6500000
EMP0531,31,1,43,130,19,33,Lead,27500000
EMP0532,45,1,94,102,17,19,Mid,11500000
EMP0533,47,4,78,83,17,35,Senior,22500000
EMP0534,29,5,27,102,7,51,Senior,22500000
EMP0535,26,1,24,167,9,5,Mid,11500000
EMP0536,34,3,93,163,10,3,Junior,6500000
EMP0537,43,4,51,199,6,43,Mid,11500000
EMP0538,55,1,68,5,13,83,Mid,11500000
EMP0539,46,2,11,103,12,45,Senior,22500000
EMP0540,44,1,25,3,15,30,Senior,22500000
